City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Tirana,Durres,31.679182611238513,Lushnje,45.08153689070474,Fier,70.61922670740518,Berat,70.80463795335552,,,,,,,,,,
Durres,Tirana,31.679182611238513,Lushnje,47.34998282527197,Fier,65.91895244228651,Berat,80.33999000658824,,,,,,,,,,
Vlore,Fier,29.391579402532724,Berat,47.18333285107366,Lushnje,55.005593364618186,Gjirokaster,70.85050618648474,,,,,,,,,,
Shkoder,Durres,84.39073675445162,Tirana,86.02935161557627,Lushnje,127.15251457632195,Fier,149.39369240194392,Ulcinj,30.58742808542742,Novi Pazar,145.71787901490427,,,,,,
Fier,Lushnje,26.092678535439116,Vlore,29.391579402532724,Berat,33.22357140671741,Durres,65.91895244228651,,,,,,,,,,
Korce,Pogradec,32.99939080912912,Berat,69.51103125980154,Gjirokaster,81.37507619851523,Lushnje,96.47388267275248,,,,,,,,,,
Berat,Fier,33.22357140671741,Lushnje,33.40030405433837,Vlore,47.18333285107366,Pogradec,62.978741967330194,,,,,,,,,,
Lushnje,Fier,26.092678535439116,Berat,33.40030405433837,Tirana,45.08153689070474,Durres,47.34998282527197,,,,,,,,,,
Pogradec,Korce,32.99939080912912,Berat,62.978741967330194,Lushnje,79.91005364038828,Tirana,84.46767512731086,Ohrid,27.278951548271124,,,,,,,,
Gjirokaster,Vlore,70.85050618648474,Berat,72.11085312268831,Korce,81.37507619851523,Fier,87.96723387086743,Ioannina,75.98464950233917,,,,,,,,
Andorra la Vella,Escaldes-Engordany,3.4879469027316037,,,,,,,,,,,,,,,,
Escaldes-Engordany,Andorra la Vella,3.4879469027316037,Toulouse,122.07873670298044,Barcelona,135.84869038345042,,,,,,,,,,,,
Gyumri,Vanadzor,54.000413298591496,Ejmiatsin,78.21342196800035,Hrazdan,83.96420798103873,Abovyan,87.23493279408176,,,,,,,,,,
Vanadzor,Hrazdan,41.96780278694493,Gyumri,54.000413298591496,Abovyan,61.035684588837434,Ejmiatsin,73.06543228545726,Rustavi,92.643762578528,,,,,,,,
