Country,Neighboring Country,City 1,City 2,Distance
Albania,Greece,Gjirokaster,Ioannina,75.98464950233917
Albania,Macedonia,Pogradec,Ohrid,27.278951548271124
Albania,Montenegro,Shkoder,Ulcinj,30.58742808542742
Albania,Serbia,Shkoder,Novi Pazar,145.71787901490427
Andorra,France,Escaldes-Engordany,Toulouse,122.07873670298044
Andorra,Spain,Escaldes-Engordany,Barcelona,135.84869038345042
Armenia,Georgia,Vanadzor,Rustavi,92.643762578528
Armenia,Turkey,Ejmiatsin,Gaziantep,692.7552073211848
Austria,Germany,Innsbruck,Munich,97.60226772100624
Austria,Hungary,Graz,Szombathely,91.32313600550076
Austria,Italy,Dornbirn,Milan,221.0114684524376
Austria,Liechtenstein,Dornbirn,Ruggell,25.129052974225836
Austria,Slovakia,Vienna,Bratislava,55.1299170951827
Austria,Slovenia,Klagenfurt,Kranj,42.93756758164656
Austria,Switzerland,Dornbirn,Sankt Gallen,28.54163224720945
Azerbaijan,Armenia,Naxcivan,Kapan,86.40893291534553
Azerbaijan,Georgia,Ganca,Rustavi,148.38521336434744
Azerbaijan,Russia,Ganca,Rostov,901.9135570258402
Belarus,Latvia,Minsk,Daugavpils,229.2910245376383
Belarus,Lithuania,Hrodna,Alytus,82.90255496897906
Belarus,Poland,Brest,Lublin,123.78822027824734
Belarus,Russia,Vitsyebsk,Moscow,471.10202937515925
Belarus,Ukraine,Homyel',Kyiv,224.15321357634153
Belgium,France,Bruges,Lille,65.65354790226893
Belgium,Germany,Liege,Cologne,102.61012576102937
Belgium,Luxembourg,Liege,Wiltz,79.1434915008909
Belgium,Netherlands,Antwerp,Breda,48.79758463262004
Bosnia and Herzegovina,Croatia,Doboj,Slavonski Brod,49.05764327468772
Bosnia and Herzegovina,Montenegro,Trebinje,Herceg Novi,33.224896174884215
Bosnia and Herzegovina,Serbia,Bijeljina,Novi Sad,74.5926596867107
Bulgaria,Greece,Plovdiv,Thessaloniki,226.06256286465955
Bulgaria,Romania,Ruse,Bucharest,68.81163954693909
Bulgaria,Serbia,Sofia,Nis,135.3999175505697
Bulgaria,Turkey,Burgas,Istanbul,206.38064407807298
Croatia,Bosnia and Herzegovina,Slavonski Brod,Doboj,49.05764327468772
Croatia,Hungary,Osijek,Pecs,67.5280897214961
Croatia,Montenegro,Split,Herceg Novi,206.75627827031653
Croatia,Serbia,Osijek,Novi Sad,95.69077038069109
Croatia,Slovenia,Varazdin,Ptuj,38.01279314012571
Czechia,Austria,Brno,Vienna,110.79761354057895
Czechia,Germany,Usti nad Labem,Berlin,211.63083363532823
Czechia,Poland,Ostrava,Katowice,70.50807790784012
Czechia,Slovakia,Zlin,Trencin,46.53327356691028
Denmark,Germany,Odense,Hamburg,206.77286827126096
Denmark,Sweden,Copenhagen,Malmo,30.36184322918433
Estonia,Latvia,Viljandi,Valmiera,91.57602311752947
