City,Country,Latitude,Longitude
Tirana,Albania,41.3289,19.8178
Durres,Albania,41.3111,19.4392
Vlore,Albania,40.4667,19.4833
Shkoder,Albania,42.0681,19.5119
Fier,Albania,40.7250,19.5572
Korce,Albania,40.6167,20.7667
Berat,Albania,40.7000,19.9500
Lushnje,Albania,40.9333,19.7000
Pogradec,Albania,40.9000,20.6500
Gjirokaster,Albania,40.0667,20.1333
Andorra la Vella,Andorra,42.5000,1.5000
Escaldes-Engordany,Andorra,42.5089,1.5408
Gyumri,Armenia,40.7894,43.8475
Vanadzor,Armenia,40.8128,44.4883
Ejmiatsin,Armenia,40.1728,44.2925
Hrazdan,Armenia,40.5000,44.7667
Abovyan,Armenia,40.2739,44.6256
Kapan,Armenia,39.2011,46.4150
Ararat,Armenia,39.8303,44.7025
Armavir,Armenia,40.1500,44.0400
Gavarr,Armenia,40.3589,45.1267
Vienna,Austria,48.2083,16.3725
Graz,Austria,47.0708,15.4386
Linz,Austria,48.3058,14.2864
Salzburg,Austria,47.8000,13.0450
Innsbruck,Austria,47.2683,11.3933
Klagenfurt,Austria,46.6167,14.3000
Villach,Austria,46.6167,13.8333
Wels,Austria,48.1500,14.0167
Sankt Polten,Austria,48.2000,15.6167
Dornbirn,Austria,47.4167,9.7500
Baku,Azerbaijan,40.3667,49.8352
Ganca,Azerbaijan,40.6828,46.3606
Sumqayit,Azerbaijan,40.5917,49.6397
Mingacevir,Azerbaijan,40.7700,47.0489
Lankaran,Azerbaijan,38.7536,48.8511
Sirvan,Azerbaijan,39.9323,48.9203
Baku,Azerbaijan,40.3667,49.8352
Naxcivan,Azerbaijan,39.2089,45.4122
Saki,Azerbaijan,41.2000,47.1667
Yevlax,Azerbaijan,40.6172,47.1500
Minsk,Belarus,53.9000,27.5667
Homyel',Belarus,52.4453,30.9842
Mahilyow,Belarus,53.9167,30.3500
Vitsyebsk,Belarus,55.1917,30.2056
Hrodna,Belarus,53.6667,23.8333
Brest,Belarus,52.1347,23.6569
Babruysk,Belarus,53.1500,29.2333
Baranavichy,Belarus,53.1333,26.0167
Babruysk,Belarus,53.1500,29.2333
Pinsk,Belarus,52.1153,26.1031
Brussels,Belgium,50.8467,4.3525
Antwerp,Belgium,51.2178,4.4003
Gent,Belgium,51.0536,3.7253
Charleroi,Belgium,50.4000,4.4333
Liege,Belgium,50.6397,5.5706
Bruges,Belgium,51.2089,3.2242
Namur,Belgium,50.4667,4.8667
Leuven,Belgium,50.8833,4.7000
Mons,Belgium,50.4500,3.9500
Aalst,Belgium,50.9383,4.0392
Sarajevo,Bosnia and Herzegovina,43.8564,18.4131
Banja Luka,Bosnia and Herzegovina,44.7725,17.1925
Tuzla,Bosnia and Herzegovina,44.5381,18.6761
Zenica,Bosnia and Herzegovina,44.2017,17.9039
Mostar,Bosnia and Herzegovina,43.3436,17.8075
Bijeljina,Bosnia and Herzegovina,44.7500,19.2167
Prijedor,Bosnia and Herzegovina,44.9667,16.7000
Brcko,Bosnia and Herzegovina,44.8783,18.8092
Trebinje,Bosnia and Herzegovina,42.7089,18.3217
Doboj,Bosnia and Herzegovina,44.7333,18.1333
Sofia,Bulgaria,42.7000,23.3300
Plovdiv,Bulgaria,42.1500,24.7500
Varna,Bulgaria,43.2167,27.9167
Burgas,Bulgaria,42.5030,27.4702
Ruse,Bulgaria,43.8231,25.9539
Stara Zagora,Bulgaria,42.4333,25.6500
Pleven,Bulgaria,43.4078,24.6203
Sliven,Bulgaria,42.6833,26.3333
Dobrich,Bulgaria,43.5667,27.8333
Shumen,Bulgaria,43.2833,26.9333
Zagreb,Croatia,45.8167,15.9833
Split,Croatia,43.5100,16.4400
Rijeka,Croatia,45.3272,14.4411
Osijek,Croatia,45.5556,18.6944
Zadar,Croatia,44.1194,15.2319
Slavonski Brod,Croatia,45.1667,18.0167
Pula,Croatia,44.8703,13.8456
Karlovac,Croatia,45.4833,15.5500
Sisak,Croatia,45.4872,16.3761
Varazdin,Croatia,46.3081,16.3378
Prague,Czechia,50.0875,14.4214
Brno,Czechia,49.1925,16.6083
Ostrava,Czechia,49.8356,18.2925
Plzen,Czechia,49.7475,13.3775
Liberec,Czechia,50.7667,15.0667
Olomouc,Czechia,49.5939,17.2508
Usti nad Labem,Czechia,50.6583,14.0417
Hradec Kralove,Czechia,50.2092,15.8322
Pardubice,Czechia,50.0386,15.7792
Zlin,Czechia,49.2331,17.6669
Copenhagen,Denmark,55.6761,12.5683
Aarhus,Denmark,56.1572,10.2107
Odense,Denmark,55.3958,10.3886
Aalborg,Denmark,57.0500,9.9167
Esbjerg,Denmark,55.4833,8.4500
Randers,Denmark,56.4570,10.0390
Kolding,Denmark,55.4917,9.5000
Horsens,Denmark,55.8583,9.8500
Vejle,Denmark,55.7167,9.5333
Roskilde,Denmark,55.6500,12.0833
Tallinn,Estonia,59.4372,24.7453
Tartu,Estonia,58.3833,26.7167
Narva,Estonia,59.3758,28.1961
Parnu,Estonia,58.3833,24.5000
Kohtla-Jarve,Estonia,59.3978,27.2572
Viljandi,Estonia,58.3667,25.6000
Rakvere,Estonia,59.3500,26.3500
Maardu,Estonia,59.4781,25.0161
Kuressaare,Estonia,58.2500,22.4833
Voru,Estonia,57.8486,26.9928
Helsinki,Finland,60.1708,24.9375
Espoo,Finland,60.2056,24.6556
Tampere,Finland,61.4981,23.7600
Vantaa,Finland,60.2944,25.0403
Oulu,Finland,65.0142,25.4719
Turku,Finland,60.4500,22.2667
Jyvaskyla,Finland,62.2417,25.7417
Lahti,Finland,60.9833,25.6500
Kuopio,Finland,62.8925,27.6783
Kouvola,Finland,60.8681,26.7042
Paris,France,48.8567,2.3522
Marseille,France,43.2964,5.3700
Lyon,France,45.7600,4.8400
Toulouse,France,43.6045,1.4440
Nice,France,43.7034,7.2663
Nantes,France,47.2181,-1.5528
Strasbourg,France,48.5833,7.7458
Montpellier,France,43.6119,3.8772
Bordeaux,France,44.8400,-0.5800
Lille,France,50.6278,3.0583
Tbilisi,Georgia,41.7225,44.7925
Kutaisi,Georgia,42.2500,42.7000
Batumi,Georgia,41.6458,41.6417
Rustavi,Georgia,42.2897,43.8543
Zugdidi,Georgia,42.5083,41.8667
Gori,Georgia,41.9817,44.1124
Poti,Georgia,42.1500,41.6667
Samtredia,Georgia,42.1625,42.3417
Khashuri,Georgia,41.9975,43.5986
Tsqaltubo,Georgia,42.3264,42.6006
Berlin,Germany,52.5200,13.4050
Hamburg,Germany,53.5500,10.0000
Munich,Germany,48.1375,11.5750
Cologne,Germany,50.9364,6.9528
Frankfurt,Germany,50.1106,8.6822
Stuttgart,Germany,48.7775,9.1800
Dusseldorf,Germany,51.2333,6.7833
Dortmund,Germany,51.5167,7.4667
Essen,Germany,51.4508,7.0131
Bremen,Germany,53.0833,8.8000
Athens,Greece,37.9842,23.7281
Thessaloniki,Greece,40.6403,22.9347
Piraeus,Greece,37.9430,23.6469
Irakleio,Greece,38.0500,23.7667
Larisa,Greece,39.6417,22.4167
Volos,Greece,39.3667,22.9333
Rodos,Greece,36.4412,28.2225
Ioannina,Greece,39.6636,20.8522
Chania,Greece,35.5167,24.0167
Chalkida,Greece,38.4625,23.5950
Budapest,Hungary,47.4925,19.0514
Debrecen,Hungary,47.5300,21.6392
Szeged,Hungary,46.2550,20.1450
Miskolc,Hungary,48.0833,20.6667
Pecs,Hungary,46.0708,18.2331
Gyor,Hungary,47.6842,17.6344
Nyiregyhaza,Hungary,47.9531,21.7271
Kecskemet,Hungary,46.9061,19.6897
Szekesfehervar,Hungary,47.1956,18.4089
Szombathely,Hungary,47.2351,16.6219
Dublin,Ireland,53.3500,-6.2603
Cork,Ireland,51.8972,-8.4700
Limerick,Ireland,52.6653,-8.6238
Galway,Ireland,53.2719,-9.0489
Waterford,Ireland,52.2567,-7.1292
Drogheda,Ireland,53.7150,-6.3525
Navan,Ireland,53.6528,-6.6814
Ennis,Ireland,52.8463,-8.9807
Rome,Italy,41.8931,12.4828
Milan,Italy,45.4669,9.1900
Naples,Italy,40.8333,14.2500
Turin,Italy,45.0792,7.6761
Palermo,Italy,38.1157,13.3613
Genoa,Italy,44.4111,8.9328
Bologna,Italy,44.4939,11.3428
Florence,Italy,43.7714,11.2542
Bari,Italy,41.1253,16.8667
Catania,Italy,37.5000,15.0903
Nur-Sultan,Kazakhstan,51.1472,71.4222
Almaty,Kazakhstan,43.2775,76.8958
Shymkent,Kazakhstan,42.3167,69.5958
Qaraghandy,Kazakhstan,49.8028,73.1056
Nur-Sultan,Kazakhstan,51.1472,71.4222
Aqtobe,Kazakhstan,50.2836,57.2297
Taraz,Kazakhstan,42.9000,71.3667
Pavlodar,Kazakhstan,52.3000,76.9500
Oskemen,Kazakhstan,49.9833,82.6167
Semey,Kazakhstan,50.4333,80.2667
Pristina,Kosovo,42.6633,21.1622
Prizren,Kosovo,42.2128,20.7392
Gjakove,Kosovo,42.3833,20.4333
Peje,Kosovo,42.6603,20.2917
Gjilan,Kosovo,42.4647,21.4669
Ferizaj,Kosovo,42.3667,21.1667
Mitrovice,Kosovo,42.8833,20.8667
Vushtrri,Kosovo,42.8222,20.9694
Fushe Kosove,Kosovo,42.6300,21.1200
Lipjan,Kosovo,42.5300,21.1386
Riga,Latvia,56.9489,24.1064
Daugavpils,Latvia,55.8750,26.5356
Liepaja,Latvia,56.5117,21.0139
Jelgava,Latvia,56.6483,23.7139
Jurmala,Latvia,56.9681,23.7703
