City,Country,Continent
Tirana,Albania,Europe        
Durres,Albania,Europe
Vlore,Albania,Europe
Shkoder,Albania,Europe
Fier,Albania,Europe
Korce,Albania,Europe
Berat,Albania,Europe
Lushnje,Albania,Europe
Pogradec,Albania,Europe
Gjirokaster,Albania,Europe
Andorra la Vella,Andorra,Europe
Escaldes-Engordany,Andorra,Europe
Yerevan, Armenia, Europe
Gyumri,Armenia,Europe
Vanadzor,Armenia,Europe
Ejmiatsin,Armenia,Europe
Hrazdan,Armenia,Europe
Abovyan,Armenia,Europe
Kapan,Armenia,Europe
Ararat,Armenia,Europe
Armavir,Armenia,Europe
Gavarr,Armenia,Europe
Vienna,Austria,Europe
Graz,Austria,Europe
Linz,Austria,Europe
Salzburg,Austria,Europe
Innsbruck,Austria,Europe
Klagenfurt,Austria,Europe
Villach,Austria,Europe
Wels,Austria,Europe
Sankt Polten,Austria,Europe
Dornbirn,Austria,Europe
Baku,Azerbaijan,Europe
Ganca,Azerbaijan,Europe
Sumqayit,Azerbaijan,Europe
Mingacevir,Azerbaijan,Europe
Lankaran,Azerbaijan,Europe
Sirvan,Azerbaijan,Europe
Baku,Azerbaijan,Europe
Naxcivan,Azerbaijan,Europe
Saki,Azerbaijan,Europe
Yevlax,Azerbaijan,Europe
Minsk,Belarus,Europe
Homyel',Belarus,Europe
Mahilyow,Belarus,Europe
Vitsyebsk,Belarus,Europe
Hrodna,Belarus,Europe
Brest,Belarus,Europe
Babruysk,Belarus,Europe
Baranavichy,Belarus,Europe
Babruysk,Belarus,Europe
Pinsk,Belarus,Europe
Brussels,Belgium,Europe
Antwerp,Belgium,Europe
Gent,Belgium,Europe
Charleroi,Belgium,Europe
Liege,Belgium,Europe
Bruges,Belgium,Europe
Namur,Belgium,Europe
Leuven,Belgium,Europe
Mons,Belgium,Europe
Aalst,Belgium,Europe
Sarajevo,Bosnia and Herzegovina,Europe
Banja Luka,Bosnia and Herzegovina,Europe
Tuzla,Bosnia and Herzegovina,Europe
Zenica,Bosnia and Herzegovina,Europe
Mostar,Bosnia and Herzegovina,Europe
Bijeljina,Bosnia and Herzegovina,Europe
Prijedor,Bosnia and Herzegovina,Europe
Brcko,Bosnia and Herzegovina,Europe
Trebinje,Bosnia and Herzegovina,Europe
Doboj,Bosnia and Herzegovina,Europe
Sofia,Bulgaria,Europe
Plovdiv,Bulgaria,Europe
Varna,Bulgaria,Europe
Burgas,Bulgaria,Europe
Ruse,Bulgaria,Europe
Stara Zagora,Bulgaria,Europe
Pleven,Bulgaria,Europe
Sliven,Bulgaria,Europe
Dobrich,Bulgaria,Europe
Shumen,Bulgaria,Europe
Zagreb,Croatia,Europe
Split,Croatia,Europe
Rijeka,Croatia,Europe
Osijek,Croatia,Europe
Zadar,Croatia,Europe
Slavonski Brod,Croatia,Europe
Pula,Croatia,Europe
Karlovac,Croatia,Europe
Sisak,Croatia,Europe
Varazdin,Croatia,Europe
Prague,Czechia,Europe
Brno,Czechia,Europe
Ostrava,Czechia,Europe
Plzen,Czechia,Europe
Liberec,Czechia,Europe
Olomouc,Czechia,Europe
Usti nad Labem,Czechia,Europe
Hradec Kralove,Czechia,Europe
Pardubice,Czechia,Europe
Zlin,Czechia,Europe
Copenhagen,Denmark,Europe
Aarhus,Denmark,Europe
Odense,Denmark,Europe
Aalborg,Denmark,Europe
Esbjerg,Denmark,Europe
Randers,Denmark,Europe
Kolding,Denmark,Europe
Horsens,Denmark,Europe
Vejle,Denmark,Europe
Roskilde,Denmark,Europe
