City,Country,Latitude,Longitude
Tirana,Albania,41.3289,19.8178
Durrës,Albania,41.3111,19.4392
Vlorë,Albania,40.4667,19.4833
Shkodër,Albania,42.0681,19.5119
Fier,Albania,40.7250,19.5572
Korçë,Albania,40.6167,20.7667
Berat,Albania,40.7000,19.9500
Lushnjë,Albania,40.9333,19.7000
Pogradec,Albania,40.9000,20.6500
Gjirokastër,Albania,40.0667,20.1333
Andorra la Vella,Andorra,42.5000,1.5000
Escaldes-Engordany,Andorra,42.5089,1.5408
Yerevan,Armenia,40.1814,44.5144
Gyumri,Armenia,40.7894,43.8475
Vanadzor,Armenia,40.8128,44.4883
Hrazdan,Armenia,40.5000,44.7667
Abovyan,Armenia,40.2739,44.6256
Kapan,Armenia,39.2011,46.4150
Ararat,Armenia,39.8303,44.7025
Armavir,Armenia,40.1500,44.0400
Vienna,Austria,48.2083,16.3725
Graz,Austria,47.0708,15.4386
Linz,Austria,48.3058,14.2864
Salzburg,Austria,47.8000,13.0450
Innsbruck,Austria,47.2683,11.3933
Klagenfurt,Austria,46.6167,14.3000
Villach,Austria,46.6167,13.8333
Wels,Austria,48.1500,14.0167
Sankt Pölten,Austria,48.2000,15.6167
Dornbirn,Austria,47.4167,9.7500
Baku,Azerbaijan,40.3667,49.8352
Şirvan,Azerbaijan,39.9323,48.9203
Baku,Azerbaijan,40.3667,49.8352
Minsk,Belarus,53.9000,27.5667
Hrodna,Belarus,53.6667,23.8333
Brest,Belarus,52.1347,23.6569
Babruysk,Belarus,53.1500,29.2333
Pinsk,Belarus,52.1153,26.1031
Brussels,Belgium,50.8467,4.3525
Antwerp,Belgium,51.2178,4.4003
Charleroi,Belgium,50.4000,4.4333
Liège,Belgium,50.6397,5.5706
Bruges,Belgium,51.2089,3.2242
Namur,Belgium,50.4667,4.8667
Leuven,Belgium,50.8833,4.7000
Mons,Belgium,50.4500,3.9500
Aalst,Belgium,50.9383,4.0392
Sarajevo,Bosnia and Herzegovina,43.8564,18.4131
Banja Luka,Bosnia and Herzegovina,44.7725,17.1925
Tuzla,Bosnia and Herzegovina,44.5381,18.6761
Zenica,Bosnia and Herzegovina,44.2017,17.9039
Mostar,Bosnia and Herzegovina,43.3436,17.8075
Bijeljina,Bosnia and Herzegovina,44.7500,19.2167
Prijedor,Bosnia and Herzegovina,44.9667,16.7000
Brčko,Bosnia and Herzegovina,44.8783,18.8092
Trebinje,Bosnia and Herzegovina,42.7089,18.3217
Doboj,Bosnia and Herzegovina,44.7333,18.1333
Sofia,Bulgaria,42.7000,23.3300
Plovdiv,Bulgaria,42.1500,24.7500
Varna,Bulgaria,43.2167,27.9167
Burgas,Bulgaria,42.5030,27.4702
Ruse,Bulgaria,43.8231,25.9539
Stara Zagora,Bulgaria,42.4333,25.6500
Pleven,Bulgaria,43.4078,24.6203
Sliven,Bulgaria,42.6833,26.3333
Dobrich,Bulgaria,43.5667,27.8333
Shumen,Bulgaria,43.2833,26.9333
Zagreb,Croatia,45.8167,15.9833
Split,Croatia,43.5100,16.4400
Rijeka,Croatia,45.3272,14.4411
Osijek,Croatia,45.5556,18.6944
Zadar,Croatia,44.1194,15.2319
Slavonski Brod,Croatia,45.1667,18.0167
Pula,Croatia,44.8703,13.8456
Karlovac,Croatia,45.4833,15.5500
Sisak,Croatia,45.4872,16.3761
Varaždin,Croatia,46.3081,16.3378
Prague,Czechia,50.0875,14.4214
Brno,Czechia,49.1925,16.6083
Ostrava,Czechia,49.8356,18.2925
Plzeň,Czechia,49.7475,13.3775
Liberec,Czechia,50.7667,15.0667
Olomouc,Czechia,49.5939,17.2508
Ústí nad Labem,Czechia,50.6583,14.0417
Hradec Králové,Czechia,50.2092,15.8322
Pardubice,Czechia,50.0386,15.7792
Zlín,Czechia,49.2331,17.6669
Copenhagen,Denmark,55.6761,12.5683
Aarhus,Denmark,56.1572,10.2107
Odense,Denmark,55.3958,10.3886
Aalborg,Denmark,57.0500,9.9167
Esbjerg,Denmark,55.4833,8.4500
Randers,Denmark,56.4570,10.0390
Kolding,Denmark,55.4917,9.5000
Horsens,Denmark,55.8583,9.8500
Vejle,Denmark,55.7167,9.5333
Roskilde,Denmark,55.6500,12.0833
Tallinn,Estonia,59.4372,24.7453
Tartu,Estonia,58.3833,26.7167
Narva,Estonia,59.3758,28.1961
Pärnu,Estonia,58.3833,24.5000
Kohtla-Järve,Estonia,59.3978,27.2572
Viljandi,Estonia,58.3667,25.6000
Rakvere,Estonia,59.3500,26.3500
Maardu,Estonia,59.4781,25.0161
Kuressaare,Estonia,58.2500,22.4833
Võru,Estonia,57.8486,26.9928
Helsinki,Finland,60.1708,24.9375
Espoo,Finland,60.2056,24.6556
Tampere,Finland,61.4981,23.7600
Vantaa,Finland,60.2944,25.0403
Oulu,Finland,65.0142,25.4719
Turku,Finland,60.4500,22.2667
Jyväskylä,Finland,62.2417,25.7417
Lahti,Finland,60.9833,25.6500
Kuopio,Finland,62.8925,27.6783
Kouvola,Finland,60.8681,26.7042
Paris,France,48.8567,2.3522
Marseille,France,43.2964,5.3700
Lyon,France,45.7600,4.8400
Toulouse,France,43.6045,1.4440
Nice,France,43.7034,7.2663
Nantes,France,47.2181,-1.5528
Strasbourg,France,48.5833,7.7458
Montpellier,France,43.6119,3.8772
Bordeaux,France,44.8400,-0.5800
Lille,France,50.6278,3.0583
Tbilisi,Georgia,41.7225,44.7925
Kutaisi,Georgia,42.2500,42.7000
Batumi,Georgia,41.6458,41.6417
Rustavi,Georgia,42.2897,43.8543
Zugdidi,Georgia,42.5083,41.8667
Gori,Georgia,41.9817,44.1124
Poti,Georgia,42.1500,41.6667
Samtredia,Georgia,42.1625,42.3417
Khashuri,Georgia,41.9975,43.5986
Tsqaltubo,Georgia,42.3264,42.6006
Berlin,Germany,52.5200,13.4050
Hamburg,Germany,53.5500,10.0000
Munich,Germany,48.1375,11.5750
Cologne,Germany,50.9364,6.9528
Frankfurt,Germany,50.1106,8.6822
Stuttgart,Germany,48.7775,9.1800
Düsseldorf,Germany,51.2333,6.7833
Dortmund,Germany,51.5167,7.4667
Essen,Germany,51.4508,7.0131
Bremen,Germany,53.0833,8.8000
Athens,Greece,37.9842,23.7281
Budapest,Hungary,47.4925,19.0514
Debrecen,Hungary,47.5300,21.6392
Szeged,Hungary,46.2550,20.1450
Miskolc,Hungary,48.0833,20.6667
Pécs,Hungary,46.0708,18.2331
Győr,Hungary,47.6842,17.6344
Nyíregyháza,Hungary,47.9531,21.7271
Kecskemét,Hungary,46.9061,19.6897
Székesfehérvár,Hungary,47.1956,18.4089
Szombathely,Hungary,47.2351,16.6219
Dublin,Ireland,53.3500,-6.2603
Cork,Ireland,51.8972,-8.4700
Limerick,Ireland,52.6653,-8.6238
Galway,Ireland,53.2719,-9.0489
Waterford,Ireland,52.2567,-7.1292
Drogheda,Ireland,53.7150,-6.3525
Navan,Ireland,53.6528,-6.6814
Ennis,Ireland,52.8463,-8.9807
Rome,Italy,41.8931,12.4828
Milan,Italy,45.4669,9.1900
Naples,Italy,40.8333,14.2500
Turin,Italy,45.0792,7.6761
Palermo,Italy,38.1157,13.3613
Genoa,Italy,44.4111,8.9328
Bologna,Italy,44.4939,11.3428
Florence,Italy,43.7714,11.2542
Bari,Italy,41.1253,16.8667
Catania,Italy,37.5000,15.0903
Nur-Sultan,Kazakhstan,51.1472,71.4222
Almaty,Kazakhstan,43.2775,76.8958
Shymkent,Kazakhstan,42.3167,69.5958
Nur-Sultan,Kazakhstan,51.1472,71.4222
Taraz,Kazakhstan,42.9000,71.3667
Pavlodar,Kazakhstan,52.3000,76.9500
Semey,Kazakhstan,50.4333,80.2667
Pristina,Kosovo,42.6633,21.1622
Prizren,Kosovo,42.2128,20.7392
Gjilan,Kosovo,42.4647,21.4669
Ferizaj,Kosovo,42.3667,21.1667
Vushtrri,Kosovo,42.8222,20.9694
Lipjan,Kosovo,42.5300,21.1386
Riga,Latvia,56.9489,24.1064
Daugavpils,Latvia,55.8750,26.5356
Liepāja,Latvia,56.5117,21.0139
Jelgava,Latvia,56.6483,23.7139
Jūrmala,Latvia,56.9681,23.7703
Ventspils,Latvia,57.3906,21.5733
Rēzekne,Latvia,56.5127,27.3427
Valmiera,Latvia,57.5500,25.4000
Ogre,Latvia,56.8186,24.6056
Tukums,Latvia,56.9667,23.1500
Vaduz,Liechtenstein,47.1410,9.5210
Schaan,Liechtenstein,47.1667,9.5097
Triesen,Liechtenstein,47.1000,9.5333
Balzers,Liechtenstein,47.0667,9.5000
Eschen,Liechtenstein,47.2167,9.5167
Mauren,Liechtenstein,47.2167,9.5333
Ruggell,Liechtenstein,47.2450,9.5332
Gamprin,Liechtenstein,47.2167,9.5000
Schellenberg,Liechtenstein,47.2336,9.5481
Planken,Liechtenstein,47.1833,9.5333
Vilnius,Lithuania,54.6872,25.2800
Kaunas,Lithuania,54.8972,23.8861
Klaipėda,Lithuania,55.7500,21.1667
Šiauliai,Lithuania,55.9333,23.3167
Panevėžys,Lithuania,55.7333,24.3500
Alytus,Lithuania,54.4014,24.0492
Marijampolė,Lithuania,54.5472,23.3500
Mažeikiai,Lithuania,56.3167,22.3333
Jonava,Lithuania,55.0722,24.2806
Utena,Lithuania,55.5000,25.6000
Esch-sur-Alzette,Luxembourg,49.4969,5.9806
Differdange,Luxembourg,49.5222,5.8917
Dudelange,Luxembourg,49.4833,6.0833
Diekirch,Luxembourg,49.8681,6.1567
Wiltz,Luxembourg,49.9667,5.9333
Vianden,Luxembourg,49.9336,6.2075
Remich,Luxembourg,49.5444,6.3667
Valletta,Malta,35.8983,14.5125
Birkirkara,Malta,35.8967,14.4625
Mosta,Malta,35.9097,14.4261
Żabbar,Malta,35.8772,14.5381
Fgura,Malta,35.8725,14.5228
Żejtun,Malta,35.8556,14.5333
Sliema,Malta,35.9122,14.5042
Qormi,Malta,35.8794,14.4722
Attard,Malta,35.8928,14.4383
Tiraspol,Moldova,46.8403,29.6433
Bender,Moldova,46.8333,29.4833
Cahul,Moldova,45.9167,28.1836
Ungheni,Moldova,47.2167,27.8167
Soroca,Moldova,48.1667,28.3000
Orhei,Moldova,47.3833,28.8167
Dubăsari,Moldova,47.2667,29.1667
Monaco,Monaco,43.7333,7.4167
Podgorica,Montenegro,42.4413,19.2629
Nikšić,Montenegro,42.7778,18.9500
Herceg Novi,Montenegro,42.4530,18.5312
Pljevlja,Montenegro,43.3567,19.3583
Bijelo Polje,Montenegro,43.0400,19.7500
Cetinje,Montenegro,42.3800,18.9200
Bar,Montenegro,42.1000,19.1000
Berane,Montenegro,42.8400,19.8600
Ulcinj,Montenegro,41.9200,19.2000
Rožaje,Montenegro,42.8400,20.1600
Amsterdam,Netherlands,52.3728,4.8936
Rotterdam,Netherlands,51.9167,4.5000
The Hague,Netherlands,52.0800,4.3100
Utrecht,Netherlands,52.0833,5.1167
Eindhoven,Netherlands,51.4333,5.4833
Tilburg,Netherlands,51.5500,5.0833
Groningen,Netherlands,53.2167,6.5667
Almere,Netherlands,52.3667,5.2167
Breda,Netherlands,51.5889,4.7758
Nijmegen,Netherlands,51.8475,5.8625
Oslo,Norway,59.9133,10.7389
Bergen,Norway,60.3894,5.3300
Trondheim,Norway,63.4297,10.3933
Stavanger,Norway,58.9700,5.7314
Drammen,Norway,59.7378,10.2050
Fredrikstad,Norway,59.2053,10.9500
Kristiansand,Norway,58.1472,7.9972
Sandnes,Norway,58.8517,5.7361
Tromsø,Norway,69.6828,18.9428
Sarpsborg,Norway,59.2858,11.1119
Warsaw,Poland,52.2300,21.0111
Kraków,Poland,50.0614,19.9372
Łódź,Poland,51.7769,19.4547
Wrocław,Poland,51.1100,17.0325
Poznań,Poland,52.4083,16.9336
Gdańsk,Poland,54.3475,18.6453
Szczecin,Poland,53.4325,14.5481
Bydgoszcz,Poland,53.1219,18.0003
