City,Country,Continent
Tirana,Albania,Europe
Durrës,Albania,Europe
Vlorë,Albania,Europe
Shkodër,Albania,Europe
Fier,Albania,Europe
Korçë,Albania,Europe
Berat,Albania,Europe
Lushnjë,Albania,Europe
Pogradec,Albania,Europe
Gjirokastër,Albania,Europe
"Andorra la Vella",Andorra,Europe
Escaldes-Engordany,Andorra,Europe
Yerevan,Armenia,Europe
Gyumri,Armenia,Europe
Vanadzor,Armenia,Europe
Vagharshapat,Armenia,Europe
Hrazdan,Armenia,Europe
Abovyan,Armenia,Europe
Kapan,Armenia,Europe
Ararat,Armenia,Europe
Armavir,Armenia,Europe
Gavar,Armenia,Europe
Vienna,Austria,Europe
Graz,Austria,Europe
Linz,Austria,Europe
Salzburg,Austria,Europe
Innsbruck,Austria,Europe
Klagenfurt,Austria,Europe
Villach,Austria,Europe
Wels,Austria,Europe
Sankt Pölten,Austria,Europe
Dornbirn,Austria,Europe
Baku,Azerbaijan,Europe
Ganja,Azerbaijan,Europe
Sumqayit,Azerbaijan,Europe
Mingachevir,Azerbaijan,Europe
Lankaran,Azerbaijan,Europe
Şirvan,Azerbaijan,Europe
Baku,Azerbaijan,Europe
Nakhchivan,Azerbaijan,Europe
Shaki,Azerbaijan,Europe
Yevlakh,Azerbaijan,Europe
Minsk,Belarus,Europe
Gomel,Belarus,Europe
Mogilev,Belarus,Europe
Vitebsk,Belarus,Europe
Hrodna,Belarus,Europe
Brest,Belarus,Europe
Bobruisk,Belarus,Europe
Baranovichi,Belarus,Europe
Babruysk,Belarus,Europe
Pinsk,Belarus,Europe
Brussels,Belgium,Europe
Antwerp,Belgium,Europe
Ghent,Belgium,Europe
Charleroi,Belgium,Europe
Liège,Belgium,Europe
Bruges,Belgium,Europe
Namur,Belgium,Europe
Leuven,Belgium,Europe
Mons,Belgium,Europe
Aalst,Belgium,Europe
Sarajevo,Bosnia and Herzegovina,Europe
Banja Luka,Bosnia and Herzegovina,Europe
Tuzla,Bosnia and Herzegovina,Europe
Zenica,Bosnia and Herzegovina,Europe
Mostar,Bosnia and Herzegovina,Europe
Bijeljina,Bosnia and Herzegovina,Europe
Prijedor,Bosnia and Herzegovina,Europe
Brčko,Bosnia and Herzegovina,Europe
Trebinje,Bosnia and Herzegovina,Europe
Doboj,Bosnia and Herzegovina,Europe
Sofia,Bulgaria,Europe
Plovdiv,Bulgaria,Europe
Varna,Bulgaria,Europe
Burgas,Bulgaria,Europe
Ruse,Bulgaria,Europe
Stara Zagora,Bulgaria,Europe
Pleven,Bulgaria,Europe
Sliven,Bulgaria,Europe
Dobrich,Bulgaria,Europe
Shumen,Bulgaria,Europe
Zagreb,Croatia,Europe
Split,Croatia,Europe
Rijeka,Croatia,Europe
Osijek,Croatia,Europe
Zadar,Croatia,Europe
Slavonski Brod,Croatia,Europe
Pula,Croatia,Europe
Karlovac,Croatia,Europe
Sisak,Croatia,Europe
Varaždin,Croatia,Europe
Prague,Czechia,Europe
Brno,Czechia,Europe
Ostrava,Czechia,Europe
Plzeň,Czechia,Europe
Liberec,Czechia,Europe
Olomouc,Czechia,Europe
Ústí nad Labem,Czechia,Europe
Hradec Králové,Czechia,Europe
Pardubice,Czechia,Europe
Zlín,Czechia,Europe
Copenhagen,Denmark,Europe
Aarhus,Denmark,Europe
Odense,Denmark,Europe
Aalborg,Denmark,Europe
Esbjerg,Denmark,Europe
Randers,Denmark,Europe
Kolding,Denmark,Europe
Horsens,Denmark,Europe
Vejle,Denmark,Europe
Roskilde,Denmark,Europe
Tallinn,Estonia,Europe
Tartu,Estonia,Europe
Narva,Estonia,Europe
Pärnu,Estonia,Europe
Kohtla-Järve,Estonia,Europe
Viljandi,Estonia,Europe
Rakvere,Estonia,Europe
Maardu,Estonia,Europe
Kuressaare,Estonia,Europe
Võru,Estonia,Europe
Helsinki,Finland,Europe
Espoo,Finland,Europe
Tampere,Finland,Europe
Vantaa,Finland,Europe
Oulu,Finland,Europe
Turku,Finland,Europe
Jyväskylä,Finland,Europe
Lahti,Finland,Europe
Kuopio,Finland,Europe
Kouvola,Finland,Europe
Paris,France,Europe
Marseille,France,Europe
Lyon,France,Europe
Toulouse,France,Europe
Nice,France,Europe
Nantes,France,Europe
Strasbourg,France,Europe
Montpellier,France,Europe
Bordeaux,France,Europe
Lille,France,Europe
Tbilisi,Georgia,Europe
Kutaisi,Georgia,Europe
Batumi,Georgia,Europe
Rustavi,Georgia,Europe
Zugdidi,Georgia,Europe
Gori,Georgia,Europe
Poti,Georgia,Europe
Samtredia,Georgia,Europe
Khashuri,Georgia,Europe
Tsqaltubo,Georgia,Europe
Berlin,Germany,Europe
Hamburg,Germany,Europe
Munich,Germany,Europe
Cologne,Germany,Europe
Frankfurt,Germany,Europe
Stuttgart,Germany,Europe
Düsseldorf,Germany,Europe
Dortmund,Germany,Europe
Essen,Germany,Europe
Bremen,Germany,Europe
Athens,Greece,Europe
Thessaloniki,Greece,Europe
Patras,Greece,Europe
Heraklion,Greece,Europe
Larissa,Greece,Europe
Volos,Greece,Europe
Rhodes,Greece,Europe
Ioannina,Greece,Europe
Chania,Greece,Europe
Chalcis,Greece,Europe
Budapest,Hungary,Europe
Debrecen,Hungary,Europe
Szeged,Hungary,Europe
Miskolc,Hungary,Europe
Pécs,Hungary,Europe
Győr,Hungary,Europe
Nyíregyháza,Hungary,Europe
Kecskemét,Hungary,Europe
Székesfehérvár,Hungary,Europe
Szombathely,Hungary,Europe
Dublin,Ireland,Europe
Cork,Ireland,Europe
Limerick,Ireland,Europe
Galway,Ireland,Europe
Waterford,Ireland,Europe
Drogheda,Ireland,Europe
Dundalk,Ireland,Europe
Navan,Ireland,Europe
Ennis,Ireland,Europe
Balbriggan,Ireland,Europe
Rome,Italy,Europe
Milan,Italy,Europe
Naples,Italy,Europe
Turin,Italy,Europe
Palermo,Italy,Europe
Genoa,Italy,Europe
Bologna,Italy,Europe
Florence,Italy,Europe
Bari,Italy,Europe
Catania,Italy,Europe
Nur-Sultan,Kazakhstan,Europe
Almaty,Kazakhstan,Europe
Shymkent,Kazakhstan,Europe
Karaganda,Kazakhstan,Europe
Nur-Sultan,Kazakhstan,Europe
Aktobe,Kazakhstan,Europe
Taraz,Kazakhstan,Europe
Pavlodar,Kazakhstan,Europe
Ust-Kamenogorsk,Kazakhstan,Europe
Semey,Kazakhstan,Europe
Pristina,Kosovo,Europe
Prizren,Kosovo,Europe
Gjakova,Kosovo,Europe
Peja,Kosovo,Europe
Gjilan,Kosovo,Europe
Ferizaj,Kosovo,Europe
Mitrovica,Kosovo,Europe
Vushtrri,Kosovo,Europe
Kosovo Polje,Kosovo,Europe
Lipjan,Kosovo,Europe
Riga,Latvia,Europe
Daugavpils,Latvia,Europe
Liepāja,Latvia,Europe
Jelgava,Latvia,Europe
Jūrmala,Latvia,Europe
Ventspils,Latvia,Europe
Rēzekne,Latvia,Europe
Valmiera,Latvia,Europe
Ogre,Latvia,Europe
Tukums,Latvia,Europe
Vaduz,Liechtenstein,Europe
Schaan,Liechtenstein,Europe
Triesen,Liechtenstein,Europe
Balzers,Liechtenstein,Europe
Eschen,Liechtenstein,Europe
Mauren,Liechtenstein,Europe
Ruggell,Liechtenstein,Europe
Gamprin,Liechtenstein,Europe
Schellenberg,Liechtenstein,Europe
Planken,Liechtenstein,Europe
Vilnius,Lithuania,Europe
Kaunas,Lithuania,Europe
Klaipėda,Lithuania,Europe
Šiauliai,Lithuania,Europe
Panevėžys,Lithuania,Europe
Alytus,Lithuania,Europe
Marijampolė,Lithuania,Europe
Mažeikiai,Lithuania,Europe
Jonava,Lithuania,Europe
Utena,Lithuania,Europe
Luxembourg City,Luxembourg,Europe
Esch-sur-Alzette,Luxembourg,Europe
Differdange,Luxembourg,Europe
Dudelange,Luxembourg,Europe
Ettelbruck,Luxembourg,Europe
Diekirch,Luxembourg,Europe
Wiltz,Luxembourg,Europe
Vianden,Luxembourg,Europe
Redange,Luxembourg,Europe
Remich,Luxembourg,Europe
Valletta,Malta,Europe
Birkirkara,Malta,Europe
Mosta,Malta,Europe
Żabbar,Malta,Europe
Saint John,Malta,Europe
Fgura,Malta,Europe
Żejtun,Malta,Europe
Sliema,Malta,Europe
Qormi,Malta,Europe
Attard,Malta,Europe
Chișinău,Moldova,Europe
Tiraspol,Moldova,Europe
Bălți,Moldova,Europe
Bender,Moldova,Europe
Rîbnița,Moldova,Europe
Cahul,Moldova,Europe
Ungheni,Moldova,Europe
Soroca,Moldova,Europe
Orhei,Moldova,Europe
Dubăsari,Moldova,Europe
Monaco,Monaco,Europe
Monte Carlo,Monaco,Europe
La Condamine,Monaco,Europe
Fontvieille,Monaco,Europe
Jardin Exotique,Monaco,Europe
Larvotto,Monaco,Europe
Saint-Roman,Monaco,Europe
Moneghetti,Monaco,Europe
Port Hercule,Monaco,Europe
Les Moneghetti,Monaco,Europe
Podgorica,Montenegro,Europe
Nikšić,Montenegro,Europe
Herceg Novi,Montenegro,Europe
Pljevlja,Montenegro,Europe
Bijelo Polje,Montenegro,Europe
Cetinje,Montenegro,Europe
Bar,Montenegro,Europe
Berane,Montenegro,Europe
Ulcinj,Montenegro,Europe
Rožaje,Montenegro,Europe
Amsterdam,Netherlands,Europe
Rotterdam,Netherlands,Europe
The Hague,Netherlands,Europe
Utrecht,Netherlands,Europe
Eindhoven,Netherlands,Europe
Tilburg,Netherlands,Europe
Groningen,Netherlands,Europe
Almere,Netherlands,Europe
Breda,Netherlands,Europe
Nijmegen,Netherlands,Europe
Skopje,North Macedonia,Europe
Bitola,North Macedonia,Europe
Kumanovo,North Macedonia,Europe
Prilep,North Macedonia,Europe
Tetovo,North Macedonia,Europe
Veles,North Macedonia,Europe
Ohrid,North Macedonia,Europe
Gostivar,North Macedonia,Europe
Struga,North Macedonia,Europe
Kavadarci,North Macedonia,Europe
Oslo,Norway,Europe
Bergen,Norway,Europe
Trondheim,Norway,Europe
Stavanger,Norway,Europe
Drammen,Norway,Europe
Fredrikstad,Norway,Europe
Kristiansand,Norway,Europe
Sandnes,Norway,Europe
Tromsø,Norway,Europe
Sarpsborg,Norway,Europe
Warsaw,Poland,Europe
Kraków,Poland,Europe
Łódź,Poland,Europe
Wrocław,Poland,Europe
Poznań,Poland,Europe
