country_name,subregion
Aland Islands,Northern Europe
Albania,Southern Europe
Andorra,Southern Europe
Bermuda,Northern America
Bosnia and Herzegovina,Southern Europe
Canada,Northern America
Croatia,Southern Europe
Cyprus,Southern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Faroe Islands,Northern Europe
Finland,Northern Europe
Gibraltar,Southern Europe
Greece,Southern Europe
Greenland,Northern America
Guernsey and Alderney,Northern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Italy,Southern Europe
Jersey,Northern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Malta,Southern Europe
Man (Isle of),Northern Europe
Montenegro,Southern Europe
North Macedonia,Southern Europe
Norway,Northern Europe
Portugal,Southern Europe
Saint Pierre and Miquelon,Northern America
San Marino,Southern Europe
Serbia,Southern Europe
Slovenia,Southern Europe
Spain,Southern Europe
Svalbard And Jan Mayen Islands,Northern Europe
Sweden,Northern Europe
United Kingdom,Northern Europe
United States,Northern America
United States Minor Outlying Islands,Northern America
Vatican City State (Holy See),Southern Europe
